,precision,recall,f1-score,support,pipeline,classifier,vectorizer,ngram_lower_bound,ngram_upper_bound,preprocess_function
accuracy,0.8475,0.8475,0.8475,0.8475,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,TfidfVectorizer,1,2,preprocess_basic
macro avg,0.8525221409318444,0.8038499834052439,0.8201438848920863,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,TfidfVectorizer,1,2,preprocess_basic
weighted avg,0.8492096649980746,0.8475,0.8418884892086331,800.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,TfidfVectorizer,1,2,preprocess_basic
CONSPIRACY,0.8851351351351351,0.4746376811594203,0.6179245283018868,276.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,CountVectorizer,2,2,preprocess_basic
CRITICAL,0.7776073619631901,0.9675572519083969,0.8622448979591837,524.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,CountVectorizer,2,2,preprocess_basic
accuracy,0.7975,0.7975,0.7975,0.7975,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,CountVectorizer,2,2,preprocess_basic
macro avg,0.8313712485491627,0.7210974665339086,0.7400847131305353,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,CountVectorizer,2,2,preprocess_basic
weighted avg,0.8147044437075113,0.7975,0.7779543704274162,800.0,"CountVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,CountVectorizer,2,2,preprocess_basic
CONSPIRACY,0.8626373626373627,0.5688405797101449,0.6855895196506551,276.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,TfidfVectorizer,2,2,preprocess_basic
CRITICAL,0.8074433656957929,0.9522900763358778,0.8739054290718039,524.0,"TfidfVectorizer with preprocessing function preprocess_basic, classifier MLPClassifier no Lemmatization and ngram: 2, 2",MLPClassifier,TfidfVectorizer,2,2,preprocess_basic
